MMI,CDPHE,Revised,Used in MMI,Phylum,Class,Order,Family,Genus,Species,Subspecies,Variety,Form
Caloneis_ventricosa_var._alpina,Caloneis_silicula_var._alpina,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,Caloneis ventricosa,,Caloneis ventricosa var. alpina,
Campylodiscus,Campylodiscus,N,Y,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Campylodiscus,,,,
Cavinula_cocconeiformis,Navicula_cocconeiformis,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula,Cavinula cocconeiformis,,,
Cavinula_pseudoscutiformis,Cavinula_pseudoscutiformis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Cavinulaceae,Cavinula,Cavinula pseudoscutiformis,,,
Chamaepinnularia,Chamaepinnularia,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia,,,,
Cocconeis_fluviatilis,Cocconeis_fluviatilis,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis fluviatilis,,,
Cocconeis_neothumensis,Cocconeis_neothumensis,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis neothumensis,,,
Cocconeis_pediculus,Cocconeis_pediculus,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis pediculus,,,
Cocconeis_placentula,Cocconies_placentula_var._lineata,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis placentula,,,
Cocconeis_placentula,Cocconeis_placentula_var._euglypta,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis placentula,,,
Cocconeis_placentula,Cocconeis_placentula_var._pseudolineata,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Cocconeis,Cocconeis placentula,,,
Craticula_ambigua,Craticula_ambigua,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula ambigua,,,
Craticula_buderi,Craticula_buderi,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula buderi,,,
Craticula_cuspidata,Craticula_cuspidata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula cuspidata,,,
Craticula_halophila,Craticula_halophila,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula halophila,,,
Craticula_subminuscula,Navicula_subminuscula,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula subminuscula,,,
Ctenophora_pulchella,Ctenophora_pulchella,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ctenophora,Ctenophora pulchella,,,
Cyclostephanos,Cyclostephanos,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclostephanos,,,,
Cyclotella_comensis,Cyclotella_comensis,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella comensis,,,
Cyclotella_meneghiniana,Stephanocyclus_meneghiniana,Y,Y,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella meneghiniana,,,
Cylindrotheca_closterium,Cylindrotheca_closterium,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium,,,
Cylindrotheca_gracilis,Cylindrotheca_gracilis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca gracilis,,,
Cymatopleura_elliptica,Cymatopleura_elliptica,N,Y,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura,Cymatopleura elliptica,,,
Cymatopleura_solea,Cymatopleura_solea,N,Y,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura,Cymatopleura solea,,,
Cymbella,Cymbella,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,,,,
Cymbella_affinis,Cymbella_excisa,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_affinis,Cymbella_affinis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_affinis,Cymbella_excisa,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_affinis,Cymbella_excisa_var._subcapitata,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella affinis,,,
Cymbella_aspera,Cymbella_aspera,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella aspera,,,
Cymbella_cymbiformis,Cymbella_cymbiformis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella cymbiformis,,,
Cymbella_ehrenbergii,Cymbella_ehrenbergii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella ehrenbergii,,,
Cymbella_excisa_var._procera,Cymbella_excisa_var._procera,N,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella excisa,,Cymbella excisa var. procera,
Cymbella_hustedtii,Cymbella_hustedtii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella hustedtii,,,
Cymbella_janischii,Cymbella_mexicana_var._janischii,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella janischii,,,
Cymbella_laevis,Cymbella_laevis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella laevis,,,
Cymbella_lanceolata,Cymbella_lanceolata,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Cymbella lanceolata,,,
