MMI,CDPHE,Revised,Used in MMI,Phylum,Class,Order,Family,Genus,Species,Subspecies,Variety,Form
Frustulia_amphipleuroides,Frustulia_rhomboides_var._amphipleuroides,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia amphipleuroides,,,
Frustulia_rhomboides,Frustulia_rhomboides,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia rhomboides,,,
Frustulia_saxonica,Frustulia_saxonica,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia saxonica,,,
Frustulia_vulgaris,Frustulia_vulgaris,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia vulgaris,,,
Geissleria_decussis,Geissleria_decussis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Geissleria,Geissleria decussis,,,
Gomphoneis,Gomphoneis,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis,,,,
Gomphoneis_eriense,Gomphoneis_eriensis,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis,Gomphoneis eriense,,,
Gomphoneis_eriense_var._variabilis,Gomphoneis_eriensis_var._variabilis,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis,Gomphoneis eriense,,Gomphoneis eriense var. variabilis,
Gomphoneis_herculeana,Gomphoneis_herculeana,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis,Gomphoneis herculeana,,,
Gomphoneis_minuta,Gomphoneis_minuta,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphoneis,Gomphoneis minuta,,,
Gomphonella_olivacea,Gomphoneis_olivacea,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonella,Gomphonella olivacea,,,
Gomphonema,Gomphonema_americana,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,,,,
Gomphonema,Gomphonema,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,,,,
Gomphonema_acuminatum,Gomphonema_acuminatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema acuminatum,,,
Gomphonema_affine,Gomphonema_affine,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema affine,,,
Gomphonema_amerhombicum,Gomphonema_amerhombicum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema amerhombicum,,,
Gomphonema_americobtusatum,Gomphonema_americobtusatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema americobtusatum,,,
Gomphonema_anglicum,Gomphonema_anglicum,N,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema anglicum,,,
Gomphonema_angustatum,Gomphonema_angustatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema angustatum,,,
Gomphonema_angustatum_var._citera,Gomphonema_citera,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema angustatum,,Gomphonema angustatum var. citera,
Gomphonema_bipunctatum,Gomphonema_bipunctatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema bipunctatum,,,
Gomphonema_capsulare,Gomphonema_capsulare,N,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema capsulare,,,
Gomphonema_clavatum,Gomphonema_clavatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema clavatum,,,
Gomphonema_clevei,Gomphonema_clevei,N,N,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema clevei,,,
Gomphonema_coronatum,Gomphonema_coronatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema coronatum,,,
Gomphonema_entolejum,Gomphonema_entolejum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema entolejum,,,
Gomphonema_exilissimum,Gomphonema_exilissimum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema exilissimum,,,
Gomphonema_exilissimum,Gomphonema_parvulum_var._exilissimum,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema exilissimum,,,
Gomphonema_grunowii,Gomphonema_grunowii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema grunowii,,,
Gomphonema_insigne,Gomphonema_insigne,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema insigne,,,
Gomphonema_intricatum,Gomphonema_intricatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema intricatum,,,
Gomphonema_intricatum_var._vibrio,Gomphonema_intricatum_var._vibrio,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema intricatum,,Gomphonema intricatum var. vibrio,
Gomphonema_maclaughlinii,Gomphonema_maclaughlinii,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema maclaughlinii,,,
Gomphonema_mexicanum,Gomphonema_mexicanum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema mexicanum,,,
Gomphonema_micropumilum,Gomphonema_micropumilum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema micropumilum,,,
Gomphonema_micropus,Gomphonema_micropus,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema micropus,,,
Gomphonema_minutum,Gomphonema_minutum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema minutum,,,
Gomphonema_olivaceoides,Gomphonema_olivaceoides,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema olivaceoides,,,
Gomphonema_parvulum,Gomphonema_parvulum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema parvulum,,,
Gomphonema_pumilum,Gomphonema_pumilum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema pumilum,,,
Gomphonema_rhombicum,Gomphonema_rhombicum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema rhombicum,,,
Gomphonema_sphaerophorum,Gomphonema_sphaerophorum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema sphaerophorum,,,
Gomphonema_stoermeri,Gomphonema_stoermeri,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema stoermeri,,,
Gomphonema_subclavatum,Gomphonema_subclavatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema subclavatum,,,
Gomphonema_truncatum,Gomphonema_truncatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema truncatum,,,
Gomphonema_truncatum,Gomphonema_truncatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema truncatum,,,
Gomphonema_truncatum_var._capitatum,Gomphonema_truncatum_var._capitatum,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema truncatum,,Gomphonema truncatum var. capitatum,
Gomphosphenia_praegnans,Gomphonema_praegnans,Y,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphosphenia,Gomphosphenia praegnans,,,
Grunowia_solgensis,Nitzschia_sinuata_var._delognei,Y,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Grunowia,Grunowia solgensis,,,
Grunowia_tabellaria,Nitzschia_sinuata_var._tabellaria,Y,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Grunowia,Grunowia tabellaria,,,
Gyrosigma,Gyrosigma,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Gyrosigma,,,,
Gyrosigma_acuminatum,Gyrosigma_acuminatum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Gyrosigma,Gyrosigma acuminatum,,,
Gyrosigma_attenuatum,Gyrosigma_attenuatum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Gyrosigma,Gyrosigma attenuatum,,,
Gyrosigma_scalproides,Gyrosigma_scalproides,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Gyrosigma,Gyrosigma scalproides,,,
Halamphora,Halamphora,N,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Halamphora,,,,
Halamphora_coffeaeformis,Amphora_coffeaeformis,Y,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Halamphora,Halamphora coffeaeformis,,,
Halamphora_coloradiana,Halamphora_coloradiana,N,N,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Halamphora,Halamphora coloradiana,,,
Halamphora_holsatica,Amphora_holsatica,Y,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Halamphora,Halamphora holsatica,,,
Halamphora_veneta,Amphora_veneta,Y,Y,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Halamphora,Halamphora veneta,,,
Hannaea_arcus,Hannaea_arcus_var._arcus,Y,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Hannaea,Hannaea arcus,,,
Hannaea_arcus_var._amphioxys,Hannaea_arcus_var._amphioxys,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Hannaea,Hannaea arcus,,Hannaea arcus var. amphioxys,
Hantzschia_amphioxys,Hantzschia_amphioxys,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Hantzschia,Hantzschia amphioxys,,,
Hippodonta_capitata,Hippodonta_capitata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta,Hippodonta capitata,,,
Hippodonta_hungarica,Hippodonta_hungarica,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Hippodonta,Hippodonta hungarica,,,
Humidophila_contenta,Navicula_contenta,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Humidophila,Humidophila contenta,,,
Karayevia,Karayevia,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Karayevia,,,,
Karayevia_clevei,Karayevia_clevei,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Karayevia,Karayevia clevei,,,
Karayevia_laterostrata,Karayevia_laterostrata,N,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Karayevia,Karayevia laterostrata,,,
Karayevia_ploenensis,Achnanthes_ploenensis,Y,Y,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Karayevia,Karayevia ploenensis,,,
Luticola_frequentissima,Luticola_frequentissima,N,N,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,Luticola frequentissima,,,
Luticola_goeppertiana,Luticola_goeppertiana,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,Luticola goeppertiana,,,
Luticola_mutica,Luticola_mutica,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,Luticola mutica,,,
Luticola_mutica,Luticola_mutica,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,Luticola mutica,,,
Luticola_ventricosa,Luticola_ventricosa,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola,Luticola ventricosa,,,
Mastogloia,Mastogloia,N,Y,Bacillariophyta,Bacillariophyceae,Mastogloiales,Mastogloiaceae,Mastogloia,,,,
Mastogloia_elliptica_var._danseii,Mastogloia_elliptica_var._danseii,N,Y,Bacillariophyta,Bacillariophyceae,Mastogloiales,Mastogloiaceae,Mastogloia,Mastogloia elliptica,,Mastogloia elliptica var. danseii,
Mastogloia_smithii,Mastogloia_smithii,N,Y,Bacillariophyta,Bacillariophyceae,Mastogloiales,Mastogloiaceae,Mastogloia,Mastogloia smithii,,,
Mastogloia_smithii_var._amphicephala,Mastogloia_smithii_var._amphicephala,N,Y,Bacillariophyta,Bacillariophyceae,Mastogloiales,Mastogloiaceae,Mastogloia,Mastogloia smithii,,Mastogloia smithii var. amphicephala,
Mayamaea_atomus,Mayamaea_atomus,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,Mayamaea atomus,,,
Melosira_varians,Melosira_varians,N,Y,Bacillariophyta,Bacillariophyceae,Melosirales,Melosiraceae,Melosira,Melosira varians,,,
Meridion_circulare,Meridion_circulare,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Meridion,Meridion circulare,,,
Meridion_circulare_var._constrictum,Meridion_circulare_var._constrictum,N,Y,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Meridion,Meridion circulare,,Meridion circulare var. constrictum,
Navicula,Navicula,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,,,,
Navicula,Navicula,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,,,,
Navicula cryptotenella,Navicula_radiosa_var._tenella,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula cryptotenella,,,
Navicula_canalis,Navicula_canalis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula canalis,,,
Navicula_capitatoradiata,Navicula_salinarum_var._intermedia,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula capitatoradiata,,,
Navicula_cari,Navicula_cari,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula cari,,,
Navicula_catalanogermanica,Navicula_catalanogermanica,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula catalanogermanica,,,
Navicula_caterva,Navicula_caterva,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula caterva,,,
Navicula_cincta,Navicula_cincta,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula cincta,,,
Navicula_cincta_var._rostrata,Navicula_cincta_var._rostrata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula cincta,,Navicula cincta var. rostrata,
Navicula_cryptocephala,Navicula_cryptocephala,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula cryptocephala,,,
Navicula_cryptotenelloides,Navicula_cryptotenelloides,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula cryptotenelloides,,,
Navicula_erifuga,Navicula_erifuga,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula erifuga,,,
Navicula_escambia,Navicula_schroeteri_var._escambia,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula escambia,,,
Navicula_germainii,Navicula_germainii,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula germainii,,,
Navicula_globulifera,Navicula_venerablis,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula globulifera,,,
Navicula_gregaria,Navicula_gregaria,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula gregaria,,,
Navicula_lanceolata,Navicula_lanceolata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula lanceolata,,,
Navicula_libonensis,Navicula_libonensis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula libonensis,,,
Navicula_margalithii,Navicula_margalithii,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula margalithii,,,
Navicula_menisculus,Navicula_menisculus,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula menisculus,,,
Navicula_moskalii,Navicula_moskalii,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula moskalii,,,
Navicula_notha,Navicula_notha,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula notha,,,
Navicula_oblonga,Navicula_oblonga,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula oblonga,,,
Navicula_peregrina,Navicula_peregrina,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula peregrina,,,
Navicula_pseudolanceolata,Navicula_pseudolanceolata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula pseudolanceolata,,,
Navicula_radiosa,Navicula_radiosa,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula radiosa,,,
Navicula_recens,Navicula_tripunctata_var._schizonemoides,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula recens,,,
Navicula_reinhardtii,Navicula_reinhardtii,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula reinhardtii,,,
Navicula_rhynchocephala,Navicula_rhynchocephala,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula rhynchocephala,,,
Navicula_rostellata,Navicula_rostellata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula rostellata,,,
Navicula_salinarum,Navicula_salinarum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula salinarum,,,
Navicula_salinicola,Navicula_salinicola,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula salinicola,,,
Navicula_secreta_var._apiculata,Navicula_secreta_var._apiculata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula secreta,,Navicula secreta var. apiculata,
Navicula_subalpina,Navicula_subalpina,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula subalpina,,,
Navicula_subrhynchocephala,Navicula_subrhynchocephala,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula subrhynchocephala,,,
Navicula_symmetrica,Navicula_schroeteri_var._symmetrica,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula symmetrica,,,
Navicula_tridentula,Navicula_tridentula,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula tridentula,,,
Navicula_tripunctata,Navicula_tripunctata,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula tripunctata,,,
Navicula_trivialis,Navicula_trivialis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula trivialis,,,
Navicula_upsaliensis,Navicula_upsaliensis,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula upsaliensis,,,
Navicula_utermoehlii,Navicula_utermoehlii,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula utermoehlii,,,
Navicula_veneta,Navicula_cryptocephala_var._veneta,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula veneta,,,
Navicula_veneta,Navicula_cryptocephala_var._veneta,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula veneta,,,
Navicula_viridula,Navicula_viridula,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula viridula,,,
Navicula_viridulacalcis,Navicula_viridulacalis,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula viridulacalcis,,,
Navicula_vulpina,Navicula_vulpina,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula vulpina,,,
Navicula_walkeri,Navicula_walkeri,N,N,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula walkeri,,,
Navicymbula_pusilla,Navicymbula_pusilla,N,Y,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,Navicymbula pusilla,,,
Neidium,Neidium,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,,,,
Neidium_affine,Neidium_affine,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium affine,,,
Neidium_affine_var._undulatum,Neidium_affine_var._undulatum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium affine,,Neidium affine var. undulatum,
Neidium_ampliatum,Neidium_ampliatum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium ampliatum,,,
Neidium_ampliatum_var._alpinum,Neidium_ampliatum_var._alpinum,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium ampliatum,,,
Neidium_dubium,Neidium_dubium,N,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium dubium,,,
Neidium_dubium_fo._constrictum,Neidium_dubium_f._constrictum,Y,Y,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium dubium,,,Neidium dubium f. constrictum
Nitzschia,Nitzschia,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,,,,
Nitzschia_acicularis,Nitzschia_acicularis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia acicularis,,,
Nitzschia_agnewii,Nitzschia_agnewii,N,N,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia agnewii,,,
Nitzschia_agnita,Nitzschia_agnita,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia agnita,,,
Nitzschia_alpina,Nitzschia_alpina,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia alpina,,,
Nitzschia_amphibia,Nitzschia_amphibia,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia amphibia,,,
Nitzschia_amphibia_fo._frauenfeldii,Nitzschia_amphibia_f._frauenfeldii,Y,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia amphibia,,,Nitzschia amphibia f. frauenfeldii
Nitzschia_angustata,Nitzschia_angustata,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia angustata,,,
Nitzschia_archibaldii,Nitzschia_archibaldii,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia archibaldii,,,
Nitzschia_desertorum,Nitzschia_desertorum,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia desertorum,,,
Nitzschia_dissipata,Nitzschia_dissipata,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia dissipata,,,
Nitzschia_dissipata_var._media,Nitzschia_dissipata_var._media,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia dissipata,,Nitzschia dissipata var. media,
Nitzschia_draveillensis,Nitzschia_draveillensis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia draveillensis,,,
Nitzschia_elegantula,Nitzschia_elegantula,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia elegantula,,,
Nitzschia_fasciculata,Nitzschia_fasciculata,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia fasciculata,,,
Nitzschia_filiformis,Nitzschia_filiformis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia filiformis,,,
Nitzschia_fonticola,Nitzschia_fonticola,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia fonticola,,,
Nitzschia_fonticola,Nitzschia_fonticola_sensu_Cholnoky,Y,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia fonticola,,,
Nitzschia_fossilis,Nitzschia_fossilis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia fossilis,,,
Nitzschia_frustulum,Nitzschia_frustulum,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia frustulum,,,
Nitzschia_frustulum_var._subsalina,Nitzschia_frustulum_var._subsalina,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia frustulum,,Nitzschia frustulum var. subsalina,
Nitzschia_gracilis,Nitzschia_gracilis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia gracilis,,,
Nitzschia_hantzschiana,Nitzschia_hantzschiana,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia hantzschiana,,,
Nitzschia_heufleriana,Nitzschia_heufleriana,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia heufleriana,,,
Nitzschia_homburgiensis,Nitzschia_homburgiensis,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia homburgiensis,,,
Nitzschia_inconspicua,Nitzschia_inconspicua,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia inconspicua,,,
Nitzschia_intermedia,Nitzschia_intermedia,N,Y,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia intermedia,,,
